cod_estados;sigla;nome;id
1;AC;ACRE;1
2;AL;ALAGOAS;2
3;AP;AMAPÁ;3
4;AM;AMAZONAS;4
5;BA;BAHIA;5
6;CE;CEARÁ;6
7;DF;"DISTRITO FEDERAL";7
8;ES;"ESPÍRITO SANTO";8
9;RR;RORAIMA;9
10;GO;GOIÁS;10
11;MA;MARANHÃO;11
12;MT;"MATO GROSSO";12
13;MS;"MATO GROSSO DO SUL";13
14;MG;"MINAS GERAIS";14
15;PA;PARÁ;15
16;PB;PARAÍBA;16
17;PR;PARANÁ;17
18;PE;PERNAMBUCO;18
19;PI;PIAUÍ;19
20;RJ;"RIO DE JANEIRO";20
21;RN;"RIO GRANDE DO NORTE";21
22;RS;"RIO GRANDE DO SUL";22
23;RO;RONDÔNIA;23
24;TO;TOCANTINS;24
25;SC;"SANTA CATARINA";25
26;SP;"SÃO PAULO";26
27;SE;SERGIPE;27
